RHR,HRV,Recovery,Sleep.Score,Hours.in.Bed,Hours.of.Sleep,Sleep.Need,Sleep.Efficiency....,Wake.Periods,Sleep.Disturbances,Latency..min.,Cycles,REM.Sleep..hours.,Deep.Sleep..hours.,Light.Sleep..hours.,Awake..hours.,Sleep.Debt..hours.,Sleep.Consistency,Respiratory.Rate,Total.Cycle.Sleep.Time..hours.,REM.Percentage,Deep.Sleep.Percentage,Restorative.Sleep..hours.,Restorative.Sleep....,RSI
0.2345679012345679,0.3793103448275862,0.24489795918367346,0.7,0.5248756218905473,0.5539130434782609,0.7843494085532301,0.7142857142857142,0.1111111111111111,0.06521739130434782,0.0,0.46153846153846156,0.4618249534450652,0.5573770491803279,0.2941176470588235,0.32127955493741306,0.3218390804597701,0.8043478260869564,0.19410160884134275,0.41628365068942885,0.48513011152416363,0.526470588235294,0.3762886597938145,0.8152454780361756,0.4329787234042553
0.06172839506172839,0.8103448275862069,0.8163265306122448,0.4888888888888889,0.37189054726368165,0.3704347826086956,0.7397634212920836,0.6666666666666666,0.07407407407407407,0.08695652173913043,0.08720798366976638,0.23076923076923078,0.15828677839851024,0.41967213114754104,0.28719723183391005,0.27260083449235045,0.29885057471264365,0.7934782608695652,0.09756072179324393,0.27774130006565995,0.22490706319702602,0.5352941176470588,0.5734536082474228,0.8036175710594315,0.3197872340425532
0.09876543209876537,0.8390804597701149,0.6428571428571428,0.18888888888888888,0.13868159203980102,0.16521739130434782,0.818926296633303,0.7976190476190476,0.037037037037037035,0.06521739130434782,0.06033114084826491,0.23076923076923078,0.1229050279329609,0.18360655737704923,0.11995386389850056,0.07788595271210014,0.5114942528735632,0.8695652173913043,0.14023768393448077,0.12278397898883785,0.37360594795539037,0.5029411764705882,0.6301546391752577,0.7881136950904393,0.31765957446808507
0.024691358024691412,0.603448275862069,0.7142857142857142,0.7444444444444445,0.4732587064676618,0.6347826086956521,0.8535031847133757,0.9285714285714286,0.16666666666666666,0.17391304347826086,0.0,0.6153846153846154,0.4022346368715084,0.5672131147540984,0.4359861591695502,0.0764951321279555,0.8103448275862069,0.45652173913043476,0.18597415031115339,0.47734734077478663,0.4628252788104089,0.5882352941176471,0.5554123711340206,0.6718346253229974,0.25808510638297893
0.13580246913580246,0.6954022988505747,0.7346938775510203,0.8888888888888888,0.4888059701492538,0.6243478260869565,0.6933575978161964,0.8809523809523809,0.14814814814814814,0.13043478260869565,0.02166024041732819,0.5384615384615385,0.6033519553072626,0.8360655737704918,0.2018454440599769,0.12934631432545202,0.29885057471264365,0.7826086956521738,0.03530917643141085,0.46946815495732114,0.6765799256505576,0.8411764705882353,0.34149484536082475,0.4224806201550388,0.24170212765957483
0.012345679012345678,0.48275862068965514,0.36734693877551017,0.32222222222222224,0.1909203980099503,0.2295652173913043,0.7015468607825295,0.8095238095238095,0.05555555555555555,0.043478260869565216,0.02710365162168292,0.23076923076923078,0.15456238361266295,0.3081967213114754,0.14302191464821223,0.0917941585535466,0.32758620689655166,0.49999999999999994,0.13490956771494567,0.17137229152987526,0.37360594795539037,0.6705882352941177,0.6920103092783506,0.7299741602067183,0.27787234042553194
0.0,0.5,0.5408163265306122,1.0,0.4987562189054728,0.6678260869565217,0.39126478616924476,0.9285714285714286,0.18870370370370368,0.2391304347826087,0.10376502608301201,0.5384615384615385,0.3612662942271881,0.7475409836065574,0.4405997693194925,0.08066759388038942,0.6781609195402298,0.5869565217391304,0.10365891731013388,0.8076165462902167,0.39776951672862454,0.7382352941176471,0.5811855670103093,0.6873385012919897,0.1874468085106385
0.04938271604938266,0.6954022988505747,0.7448979591836734,0.5,0.24626865671641796,0.33391304347826084,0.6624203821656051,0.9166666666666665,0.1512962962962963,0.19565217391304346,0.04411431163529145,0.38461538461538464,0.29608938547486036,0.2721311475409836,0.2053056516724337,0.05006954102920723,0.0,0.6195652173913043,0.15243407496826022,0.2501641497045306,0.5892193308550187,0.4882352941176471,0.5451030927835052,0.4948320413436692,0.32212765957446793
0.1975308641975308,0.5229885057471264,0.5306122448979591,0.6666666666666666,0.34328358208955234,0.46434782608695646,0.6878980891719744,0.9285714285714286,0.20555555555555555,0.2608695652173913,0.0,0.3076923076923077,0.404096834264432,0.5704918032786885,0.20645905420991922,0.058414464534075096,0.49999999999999994,0.5543478260869564,0.15853227048514973,0.4399212081418254,0.6133828996282528,0.7794117647058824,0.30927835051546393,0.3423772609819121,0.2661702127659576
0.1975308641975308,0.3793103448275862,0.3061224489795918,0.6444444444444444,0.37748756218905477,0.4956521739130434,0.7570518653321201,0.9047619047619047,0.037037037037037035,0.043478260869565216,0.0815377636652302,0.15384615384615385,0.3165735567970205,0.5213114754098361,0.31833910034602075,0.08484005563282336,0.42816091954022983,0.6195652173913043,0.12805169937769256,0.3722915298752463,0.44423791821561337,0.6558823529411765,0.4239690721649485,0.5968992248062015,0.3744680851063827
